CC1,-CC1,CC2,-CC2,M4G,-M4G,CCL,-CCL,CCX,-CCX,CC2 (Transfer),-CC2T,M4G (Transfer),-M4GT,CC1 & CC2 & M4G,-CC1CC2M4G
Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM
1,16,15,27,,,,,,,,,,,1,16
2,16,1,11,,,,,,,,,,,2,16
3,17,1,10,,,,,,,,,,,3,17
5,17,9,20,,,,,,,,,,,5,17
7,23,21,22,,,,,,,,,,,7,23
11,17,58,30,,,,,,,,,,,11,17
13,22,1,12,,,,,,,,,,,13,22
37,34,1,18,,,,,,,,,,,37,34
55,47,2,24,,,,,,,,,,,55,47
72,54,4,19,,,,,,,,,,,72,54
1,9,5,20,,,,,,,,,,,1,9
2,20,7,20,,,,,,,,,,,2,20
5,32,59,20,,,,,,,,,,,5,32
6,26,64,20,,,,,,,,,,,6,26
7,40,202,29,,,,,,,,,,,7,40
8,43,203,23,,,,,,,,,,,8,43
9,55,4,15,,,,,,,,,,,9,55
11,50,5,17,,,,,,,,,,,11,50
12,51,6,24,,,,,,,,,,,12,51
16,68,7,25,,,,,,,,,,,16,68
24,60,8,28,,,,,,,,,,,24,60
31,84,10,30,,,,,,,,,,,31,84
32,62,11,36,,,,,,,,,,,32,62
36,101,15,36,,,,,,,,,,,36,101
38,78,17,40,,,,,,,,,,,38,78
40,115,23,41,,,,,,,,,,,40,115
42,117,24,43,,,,,,,,,,,42,117
43,125,25,45,,,,,,,,,,,43,125
44,130,58,48,,,,,,,,,,,44,130
45,140,61,50,,,,,,,,,,,45,140
51,161,62,51,,,,,,,,,,,51,161
52,84,2,15,,,,,,,,,,,52,84
53,156,31,40,,,,,,,,,,,53,156
2,13,59,60,,,,,,,,,,,2,13
3,12,1,15,,,,,,,,,,,3,12
5,22,1,12,,,,,,,,,,,5,22
12,23,2,16,,,,,,,,,,,12,23
1,6,3,31,,,,,,,,,,,1,6
3,4,4,37,,,,,,,,,,,3,4
4,10,6,44,,,,,,,,,,,4,10
5,22,8,48,,,,,,,,,,,5,22
7,25,10,39,,,,,,,,,,,7,25
8,22,16,40,,,,,,,,,,,8,22
9,19,22,46,,,,,,,,,,,9,19
11,19,244,70,,,,,,,,,,,11,19
1,6,1,5,,,,,,,,,,,1,6
3,16,11,10,,,,,,,,,,,3,16
5,16,1,10,,,,,,,,,,,5,16
6,17,3,15,,,,,,,,,,,6,17
8,18,5,20,,,,,,,,,,,8,18
13,10,6,24,,,,,,,,,,,13,10
3,12,7,25,,,,,,,,,,,3,12
221,62,8,28,,,,,,,,,,,221,62
235,70,9,32,,,,,,,,,,,235,70
241,154,10,33,,,,,,,,,,,241,154
1,23,15,36,,,,,,,,,,,1,23
1,3,18,36,,,,,,,,,,,1,3
2,10,31,40,,,,,,,,,,,2,10
6,25,3,10,,,,,,,,,,,6,25
7,31,6,21,,,,,,,,,,,7,31
8,35,7,24,,,,,,,,,,,8,35
11,42,8,31,,,,,,,,,,,11,42
15,76,11,33,,,,,,,,,,,15,76
16,82,12,32,,,,,,,,,,,16,82
17,114,13,37,,,,,,,,,,,17,114
20,132,15,42,,,,,,,,,,,20,132
384,87,16,42,,,,,,,,,,,384,87
407,164,17,43,,,,,,,,,,,407,164
410,96,18,45,,,,,,,,,,,410,96
411,103,19,50,,,,,,,,,,,411,103
412,91,20,74,,,,,,,,,,,412,91
423,92,21,84,,,,,,,,,,,423,92
424,164,22,95,,,,,,,,,,,424,164
430,92,24,98,,,,,,,,,,,430,92
431,104,25,104,,,,,,,,,,,431,104
445,180,27,115,,,,,,,,,,,445,180
461,195,28,136,,,,,,,,,,,461,195
560,200,29,122,,,,,,,,,,,560,200
2,12,32,134,,,,,,,,,,,2,12
7,14,34,142,,,,,,,,,,,7,14
8,38,35,157,,,,,,,,,,,8,38
5,12,46,167,,,,,,,,,,,5,12
7,22,47,179,,,,,,,,,,,7,22
56,30,53,188,,,,,,,,,,,56,30
3,14,58,203,,,,,,,,,,,3,14
10,21,62,205,,,,,,,,,,,10,21
7,14,63,219,,,,,,,,,,,7,14
14,20,68,228,,,,,,,,,,,14,20
21,25,79,244,,,,,,,,,,,21,25
28,27,85,252,,,,,,,,,,,28,27
8,5,148,257,,,,,,,,,,,8,5
1,8,158,269,,,,,,,,,,,1,8
2,14,160,273,,,,,,,,,,,2,14
3,14,161,277,,,,,,,,,,,3,14
4,17,167,285,,,,,,,,,,,4,17
5,21,179,289,,,,,,,,,,,5,21
6,22,192,307,,,,,,,,,,,6,22
7,22,1,3,,,,,,,,,,,7,22
8,23,3,12,,,,,,,,,,,8,23
9,25,1,9,,,,,,,,,,,9,25
10,26,2,10,,,,,,,,,,,10,26
12,26,3,11,,,,,,,,,,,12,26
13,27,4,15,,,,,,,,,,,13,27
14,28,5,16,,,,,,,,,,,14,28
16,31,8,20,,,,,,,,,,,16,31
17,30,9,21,,,,,,,,,,,17,30
18,35,11,23,,,,,,,,,,,18,35
19,37,16,24,,,,,,,,,,,19,37
20,40,22,22,,,,,,,,,,,20,40
21,39,23,24,,,,,,,,,,,21,39
23,40,25,29,,,,,,,,,,,23,40
24,42,27,29,,,,,,,,,,,24,42
25,43,28,31,,,,,,,,,,,25,43
26,45,29,32,,,,,,,,,,,26,45
27,45,30,32,,,,,,,,,,,27,45
31,45,31,35,,,,,,,,,,,31,45
32,46,32,34,,,,,,,,,,,32,46
33,46,34,39,,,,,,,,,,,33,46
34,51,35,40,,,,,,,,,,,34,51
35,51,36,37,,,,,,,,,,,35,51
37,53,39,42,,,,,,,,,,,37,53
40,55,40,31,,,,,,,,,,,40,55
41,57,42,45,,,,,,,,,,,41,57
37,26,47,49,,,,,,,,,,,37,26
62,30,2,6,,,,,,,,,,,62,30
63,30,4,8,,,,,,,,,,,63,30
64,36,6,11,,,,,,,,,,,64,36
65,35,8,14,,,,,,,,,,,65,35
70,32,2,14,,,,,,,,,,,70,32
72,33,11,30,,,,,,,,,,,72,33
1,6,30,55,,,,,,,,,,,1,6
3,16,2,15,,,,,,,,,,,3,16
5,18,1,14,,,,,,,,,,,5,18
6,17,2,21,,,,,,,,,,,6,17
8,22,3,16,,,,,,,,,,,8,22
3,20,4,19,,,,,,,,,,,3,20
7,10,5,30,,,,,,,,,,,7,10
10,18,6,32,,,,,,,,,,,10,18
24,22,7,35,,,,,,,,,,,24,22
32,24,8,41,,,,,,,,,,,32,24
33,24,12,43,,,,,,,,,,,33,24
55,25,14,46,,,,,,,,,,,55,25
1,16,15,49,,,,,,,,,,,1,16
2,18,16,54,,,,,,,,,,,2,18
3,21,,,,,,,,,,,,,3,21
5,27,,,,,,,,,,,,,5,27
6,33,,,,,,,,,,,,,6,33
7,27,,,,,,,,,,,,,7,27
8,27,,,,,,,,,,,,,8,27
13,36,,,,,,,,,,,,,13,36
44,28,,,,,,,,,,,,,44,28
65,34,,,,,,,,,,,,,65,34
66,36,,,,,,,,,,,,,66,36
69,38,,,,,,,,,,,,,69,38
76,40,,,,,,,,,,,,,76,40
1,17,,,,,,,,,,,,,1,17
3,10,,,,,,,,,,,,,3,10
5,22,,,,,,,,,,,,,5,22
1,8,,,,,,,,,,,,,1,8
2,14,,,,,,,,,,,,,2,14
1,11,,,,,,,,,,,,,1,11
1,15,,,,,,,,,,,,,1,15
1,14,,,,,,,,,,,,,1,14
3,19,,,,,,,,,,,,,3,19
3,16,,,,,,,,,,,,,3,16
11,21,,,,,,,,,,,,,11,21
14,21,,,,,,,,,,,,,14,21
168,70,,,,,,,,,,,,,168,70
1,10,,,,,,,,,,,,,1,10
2,12,,,,,,,,,,,,,2,12
1,5,,,,,,,,,,,,,1,5
2,11,,,,,,,,,,,,,2,11
3,20,,,,,,,,,,,,,3,20
12,10,,,,,,,,,,,,,12,10
14,18,,,,,,,,,,,,,14,18
2,12,,,,,,,,,,,,,2,12
3,13,,,,,,,,,,,,,3,13
1,4,,,,,,,,,,,,,1,4
2,24,,,,,,,,,,,,,2,24
3,29,,,,,,,,,,,,,3,29
1,5,,,,,,,,,,,,,1,5
4,7,,,,,,,,,,,,,4,7
6,12,,,,,,,,,,,,,6,12
10,15,,,,,,,,,,,,,10,15
13,16,,,,,,,,,,,,,13,16
20,12,,,,,,,,,,,,,20,12
22,18,,,,,,,,,,,,,22,18
23,16,,,,,,,,,,,,,23,16
24,4,,,,,,,,,,,,,24,4
25,18,,,,,,,,,,,,,25,18
27,18,,,,,,,,,,,,,27,18
28,17,,,,,,,,,,,,,28,17
29,16,,,,,,,,,,,,,29,16
30,19,,,,,,,,,,,,,30,19
31,18,,,,,,,,,,,,,31,18
32,21,,,,,,,,,,,,,32,21
33,19,,,,,,,,,,,,,33,19
35,20,,,,,,,,,,,,,35,20
36,20,,,,,,,,,,,,,36,20
37,20,,,,,,,,,,,,,37,20
38,22,,,,,,,,,,,,,38,22
39,22,,,,,,,,,,,,,39,22
41,26,,,,,,,,,,,,,41,26
43,21,,,,,,,,,,,,,43,21
46,27,,,,,,,,,,,,,46,27
52,27,,,,,,,,,,,,,52,27
53,27,,,,,,,,,,,,,53,27
54,27,,,,,,,,,,,,,54,27
55,28,,,,,,,,,,,,,55,28
57,34,,,,,,,,,,,,,57,34
58,28,,,,,,,,,,,,,58,28
59,27,,,,,,,,,,,,,59,27
60,28,,,,,,,,,,,,,60,28
61,31,,,,,,,,,,,,,61,31
62,31,,,,,,,,,,,,,62,31
66,38,,,,,,,,,,,,,66,38
67,48,,,,,,,,,,,,,67,48
70,30,,,,,,,,,,,,,70,30
71,32,,,,,,,,,,,,,71,32
72,34,,,,,,,,,,,,,72,34
73,37,,,,,,,,,,,,,73,37
75,36,,,,,,,,,,,,,75,36
77,35,,,,,,,,,,,,,77,35
78,37,,,,,,,,,,,,,78,37
79,31,,,,,,,,,,,,,79,31
80,35,,,,,,,,,,,,,80,35
81,42,,,,,,,,,,,,,81,42
87,38,,,,,,,,,,,,,87,38
89,43,,,,,,,,,,,,,89,43
98,36,,,,,,,,,,,,,98,36
1,23,,,,,,,,,,,,,1,23
2,34,,,,,,,,,,,,,2,34
4,19,,,,,,,,,,,,,4,19
6,16,,,,,,,,,,,,,6,16
7,26,,,,,,,,,,,,,7,26
10,30,,,,,,,,,,,,,10,30
1,15,,,,,,,,,,,,,1,15
4,22,,,,,,,,,,,,,4,22
31,25,,,,,,,,,,,,,31,25
33,41,,,,,,,,,,,,,33,41
34,33,,,,,,,,,,,,,34,33
51,36,,,,,,,,,,,,,51,36
52,44,,,,,,,,,,,,,52,44
67,42,,,,,,,,,,,,,67,42
69,37,,,,,,,,,,,,,69,37
79,40,,,,,,,,,,,,,79,40
80,50,,,,,,,,,,,,,80,50
582,40,,,,,,,,,,,,,582,40
1,21,,,,,,,,,,,,,1,21
3,40,,,,,,,,,,,,,3,40
14,39,,,,,,,,,,,,,14,39
16,50,,,,,,,,,,,,,16,50
17,45,,,,,,,,,,,,,17,45
22,40,,,,,,,,,,,,,22,40
23,40,,,,,,,,,,,,,23,40
24,40,,,,,,,,,,,,,24,40
25,45,,,,,,,,,,,,,25,45
1,4,,,,,,,,,,,,,1,4
2,9,,,,,,,,,,,,,2,9
5,20,,,,,,,,,,,,,5,20
9,22,,,,,,,,,,,,,9,22
11,19,,,,,,,,,,,,,11,19
14,20,,,,,,,,,,,,,14,20
19,27,,,,,,,,,,,,,19,27
21,26,,,,,,,,,,,,,21,26
28,36,,,,,,,,,,,,,28,36
33,29,,,,,,,,,,,,,33,29
39,49,,,,,,,,,,,,,39,49
44,47,,,,,,,,,,,,,44,47
45,51,,,,,,,,,,,,,45,51
57,57,,,,,,,,,,,,,57,57
223,73,,,,,,,,,,,,,223,73
531,87,,,,,,,,,,,,,531,87
147,49,,,,,,,,,,,,,147,49
148,34,,,,,,,,,,,,,148,34
1,5,,,,,,,,,,,,,1,5
2,22,,,,,,,,,,,,,2,22
1,4,,,,,,,,,,,,,1,4
2,11,,,,,,,,,,,,,2,11
15,38,,,,,,,,,,,,,15,38
28,43,,,,,,,,,,,,,28,43
29,49,,,,,,,,,,,,,29,49
50,51,,,,,,,,,,,,,50,51
109,53,,,,,,,,,,,,,109,53
116,126,,,,,,,,,,,,,116,126
136,135,,,,,,,,,,,,,136,135
139,145,,,,,,,,,,,,,139,145
141,162,,,,,,,,,,,,,141,162
348,108,,,,,,,,,,,,,348,108
1,10,,,,,,,,,,,,,1,10
2,18,,,,,,,,,,,,,2,18
3,17,,,,,,,,,,,,,3,17
6,19,,,,,,,,,,,,,6,19
7,20,,,,,,,,,,,,,7,20
8,18,,,,,,,,,,,,,8,18
13,27,,,,,,,,,,,,,13,27
15,26,,,,,,,,,,,,,15,26
16,30,,,,,,,,,,,,,16,30
17,34,,,,,,,,,,,,,17,34
20,32,,,,,,,,,,,,,20,32
21,35,,,,,,,,,,,,,21,35
24,39,,,,,,,,,,,,,24,39
1,9,,,,,,,,,,,,,1,9
2,15,,,,,,,,,,,,,2,15
3,17,,,,,,,,,,,,,3,17
4,21,,,,,,,,,,,,,4,21
5,22,,,,,,,,,,,,,5,22
6,26,,,,,,,,,,,,,6,26
10,32,,,,,,,,,,,,,10,32
19,36,,,,,,,,,,,,,19,36
1,6,,,,,,,,,,,,,1,6
12,7,,,,,,,,,,,,,12,7
14,8,,,,,,,,,,,,,14,8
15,8,,,,,,,,,,,,,15,8
16,10,,,,,,,,,,,,,16,10
17,12,,,,,,,,,,,,,17,12
19,9,,,,,,,,,,,,,19,9
22,9,,,,,,,,,,,,,22,9
23,12,,,,,,,,,,,,,23,12
24,17,,,,,,,,,,,,,24,17
25,17,,,,,,,,,,,,,25,17
26,20,,,,,,,,,,,,,26,20
28,24,,,,,,,,,,,,,28,24
29,21,,,,,,,,,,,,,29,21
32,25,,,,,,,,,,,,,32,25
33,28,,,,,,,,,,,,,33,28
386,52,,,,,,,,,,,,,386,52
15,76,,,,,,,,,,,,,15,76
19,87,,,,,,,,,,,,,19,87
21,104,,,,,,,,,,,,,21,104
404,252,,,,,,,,,,,,,404,252
8,17,,,,,,,,,,,,,8,17
9,19,,,,,,,,,,,,,9,19
32,26,,,,,,,,,,,,,32,26
2,9,,,,,,,,,,,,,2,9
3,9,,,,,,,,,,,,,3,9
4,12,,,,,,,,,,,,,4,12
8,13,,,,,,,,,,,,,8,13
16,19,,,,,,,,,,,,,16,19
63,13,,,,,,,,,,,,,63,13
127,24,,,,,,,,,,,,,127,24
1,10,,,,,,,,,,,,,1,10
3,7,,,,,,,,,,,,,3,7
1,10,,,,,,,,,,,,,1,10
2,14,,,,,,,,,,,,,2,14
3,17,,,,,,,,,,,,,3,17
5,19,,,,,,,,,,,,,5,19
6,22,,,,,,,,,,,,,6,22
9,22,,,,,,,,,,,,,9,22
10,24,,,,,,,,,,,,,10,24
14,25,,,,,,,,,,,,,14,25
22,31,,,,,,,,,,,,,22,31
23,33,,,,,,,,,,,,,23,33
44,37,,,,,,,,,,,,,44,37
1,22,,,,,,,,,,,,,1,22
10,16,,,,,,,,,,,,,10,16
158,20,,,,,,,,,,,,,158,20
197,25,,,,,,,,,,,,,197,25
901,26,,,,,,,,,,,,,901,26
1,11,,,,,,,,,,,,,1,11
2,3,,,,,,,,,,,,,2,3
3,5,,,,,,,,,,,,,3,5
4,8,,,,,,,,,,,,,4,8
5,11,,,,,,,,,,,,,5,11
6,14,,,,,,,,,,,,,6,14
7,12,,,,,,,,,,,,,7,12
8,15,,,,,,,,,,,,,8,15
10,18,,,,,,,,,,,,,10,18
11,21,,,,,,,,,,,,,11,21
12,22,,,,,,,,,,,,,12,22
13,22,,,,,,,,,,,,,13,22
14,20,,,,,,,,,,,,,14,20
15,24,,,,,,,,,,,,,15,24
25,25,,,,,,,,,,,,,25,25
42,32,,,,,,,,,,,,,42,32
53,34,,,,,,,,,,,,,53,34
69,37,,,,,,,,,,,,,69,37
71,38,,,,,,,,,,,,,71,38
76,39,,,,,,,,,,,,,76,39
77,40,,,,,,,,,,,,,77,40
84,42,,,,,,,,,,,,,84,42
101,45,,,,,,,,,,,,,101,45
111,47,,,,,,,,,,,,,111,47
129,56,,,,,,,,,,,,,129,56
133,51,,,,,,,,,,,,,133,51
2,11,,,,,,,,,,,,,2,11
21,26,,,,,,,,,,,,,21,26
2,13,,,,,,,,,,,,,2,13
3,17,,,,,,,,,,,,,3,17
4,22,,,,,,,,,,,,,4,22
5,26,,,,,,,,,,,,,5,26
7,27,,,,,,,,,,,,,7,27
12,29,,,,,,,,,,,,,12,29
24,42,,,,,,,,,,,,,24,42
49,44,,,,,,,,,,,,,49,44
51,20,,,,,,,,,,,,,51,20
28,34,,,,,,,,,,,,,28,34
29,32,,,,,,,,,,,,,29,32
30,31,,,,,,,,,,,,,30,31
31,35,,,,,,,,,,,,,31,35
32,37,,,,,,,,,,,,,32,37
35,43,,,,,,,,,,,,,35,43
40,40,,,,,,,,,,,,,40,40
42,50,,,,,,,,,,,,,42,50
43,50,,,,,,,,,,,,,43,50
44,45,,,,,,,,,,,,,44,45
48,55,,,,,,,,,,,,,48,55
50,50,,,,,,,,,,,,,50,50
55,50,,,,,,,,,,,,,55,50
57,45,,,,,,,,,,,,,57,45
60,55,,,,,,,,,,,,,60,55
67,67,,,,,,,,,,,,,67,67
69,55,,,,,,,,,,,,,69,55
70,78,,,,,,,,,,,,,70,78
74,55,,,,,,,,,,,,,74,55
75,61,,,,,,,,,,,,,75,61
77,64,,,,,,,,,,,,,77,64
7,15,,,,,,,,,,,,,7,15
9,26,,,,,,,,,,,,,9,26
10,35,,,,,,,,,,,,,10,35
18,35,,,,,,,,,,,,,18,35
30,35,,,,,,,,,,,,,30,35
32,35,,,,,,,,,,,,,32,35
33,35,,,,,,,,,,,,,33,35
36,38,,,,,,,,,,,,,36,38
46,41,,,,,,,,,,,,,46,41
1,3,,,,,,,,,,,,,1,3
2,21,,,,,,,,,,,,,2,21
4,49,,,,,,,,,,,,,4,49
1,9,,,,,,,,,,,,,1,9
2,14,,,,,,,,,,,,,2,14
3,14,,,,,,,,,,,,,3,14
4,17,,,,,,,,,,,,,4,17
5,19,,,,,,,,,,,,,5,19
6,22,,,,,,,,,,,,,6,22
15,25,,,,,,,,,,,,,15,25
26,27,,,,,,,,,,,,,26,27
43,29,,,,,,,,,,,,,43,29
79,39,,,,,,,,,,,,,79,39
93,49,,,,,,,,,,,,,93,49
1,12,,,,,,,,,,,,,1,12
1,13,,,,,,,,,,,,,1,13
1,8,,,,,,,,,,,,,1,8
2,14,,,,,,,,,,,,,2,14
3,19,,,,,,,,,,,,,3,19
4,19,,,,,,,,,,,,,4,19
6,23,,,,,,,,,,,,,6,23
8,23,,,,,,,,,,,,,8,23
9,25,,,,,,,,,,,,,9,25
10,26,,,,,,,,,,,,,10,26
11,27,,,,,,,,,,,,,11,27
12,26,,,,,,,,,,,,,12,26
14,30,,,,,,,,,,,,,14,30
15,31,,,,,,,,,,,,,15,31
17,33,,,,,,,,,,,,,17,33
19,37,,,,,,,,,,,,,19,37
21,39,,,,,,,,,,,,,21,39
22,41,,,,,,,,,,,,,22,41
23,39,,,,,,,,,,,,,23,39
24,41,,,,,,,,,,,,,24,41
25,40,,,,,,,,,,,,,25,40
26,44,,,,,,,,,,,,,26,44
28,45,,,,,,,,,,,,,28,45
29,45,,,,,,,,,,,,,29,45
30,46,,,,,,,,,,,,,30,46
32,47,,,,,,,,,,,,,32,47
34,49,,,,,,,,,,,,,34,49
36,52,,,,,,,,,,,,,36,52
37,53,,,,,,,,,,,,,37,53
38,45,,,,,,,,,,,,,38,45
40,53,,,,,,,,,,,,,40,53
41,56,,,,,,,,,,,,,41,56
42,56,,,,,,,,,,,,,42,56
43,60,,,,,,,,,,,,,43,60
45,58,,,,,,,,,,,,,45,58
46,57,,,,,,,,,,,,,46,57
47,57,,,,,,,,,,,,,47,57
48,61,,,,,,,,,,,,,48,61
49,62,,,,,,,,,,,,,49,62
51,61,,,,,,,,,,,,,51,61
52,61,,,,,,,,,,,,,52,61
53,62,,,,,,,,,,,,,53,62
54,61,,,,,,,,,,,,,54,61
56,63,,,,,,,,,,,,,56,63
57,64,,,,,,,,,,,,,57,64
59,65,,,,,,,,,,,,,59,65
60,64,,,,,,,,,,,,,60,64
61,67,,,,,,,,,,,,,61,67
62,66,,,,,,,,,,,,,62,66
64,68,,,,,,,,,,,,,64,68
66,70,,,,,,,,,,,,,66,70
67,66,,,,,,,,,,,,,67,66
68,67,,,,,,,,,,,,,68,67
70,70,,,,,,,,,,,,,70,70
71,69,,,,,,,,,,,,,71,69
72,67,,,,,,,,,,,,,72,67
73,69,,,,,,,,,,,,,73,69
74,72,,,,,,,,,,,,,74,72
75,70,,,,,,,,,,,,,75,70
76,69,,,,,,,,,,,,,76,69
77,69,,,,,,,,,,,,,77,69
79,68,,,,,,,,,,,,,79,68
80,71,,,,,,,,,,,,,80,71
81,69,,,,,,,,,,,,,81,69
82,71,,,,,,,,,,,,,82,71
83,66,,,,,,,,,,,,,83,66
84,72,,,,,,,,,,,,,84,72
85,74,,,,,,,,,,,,,85,74
87,71,,,,,,,,,,,,,87,71
88,72,,,,,,,,,,,,,88,72
89,70,,,,,,,,,,,,,89,70
90,75,,,,,,,,,,,,,90,75
91,72,,,,,,,,,,,,,91,72
92,71,,,,,,,,,,,,,92,71
93,73,,,,,,,,,,,,,93,73
94,73,,,,,,,,,,,,,94,73
95,76,,,,,,,,,,,,,95,76
96,71,,,,,,,,,,,,,96,71
97,75,,,,,,,,,,,,,97,75
98,78,,,,,,,,,,,,,98,78
99,79,,,,,,,,,,,,,99,79
100,77,,,,,,,,,,,,,100,77
101,77,,,,,,,,,,,,,101,77
103,77,,,,,,,,,,,,,103,77
104,78,,,,,,,,,,,,,104,78
105,81,,,,,,,,,,,,,105,81
1,16,,,,,,,,,,,,,1,16
2,24,,,,,,,,,,,,,2,24
3,28,,,,,,,,,,,,,3,28
4,30,,,,,,,,,,,,,4,30
5,34,,,,,,,,,,,,,5,34
6,36,,,,,,,,,,,,,6,36
7,39,,,,,,,,,,,,,7,39
15,43,,,,,,,,,,,,,15,43
25,47,,,,,,,,,,,,,25,47
28,50,,,,,,,,,,,,,28,50
66,55,,,,,,,,,,,,,66,55
73,63,,,,,,,,,,,,,73,63
110,70,,,,,,,,,,,,,110,70
131,106,,,,,,,,,,,,,131,106
187,92,,,,,,,,,,,,,187,92
197,81,,,,,,,,,,,,,197,81
215,94,,,,,,,,,,,,,215,94
260,95,,,,,,,,,,,,,260,95
289,100,,,,,,,,,,,,,289,100
1,17,,,,,,,,,,,,,1,17
2,27,,,,,,,,,,,,,2,27
3,16,,,,,,,,,,,,,3,16
4,24,,,,,,,,,,,,,4,24
7,28,,,,,,,,,,,,,7,28
9,33,,,,,,,,,,,,,9,33
10,36,,,,,,,,,,,,,10,36
11,38,,,,,,,,,,,,,11,38
12,42,,,,,,,,,,,,,12,42
18,47,,,,,,,,,,,,,18,47
21,48,,,,,,,,,,,,,21,48
22,53,,,,,,,,,,,,,22,53
26,56,,,,,,,,,,,,,26,56
29,57,,,,,,,,,,,,,29,57
34,65,,,,,,,,,,,,,34,65
72,98,,,,,,,,,,,,,72,98
73,91,,,,,,,,,,,,,73,91
60,30,,,,,,,,,,,,,60,30
63,38,,,,,,,,,,,,,63,38
70,30,,,,,,,,,,,,,70,30
2,8,,,,,,,,,,,,,2,8
3,20,,,,,,,,,,,,,3,20
21,56,,,,,,,,,,,,,21,56
24,40,,,,,,,,,,,,,24,40
25,49,,,,,,,,,,,,,25,49
29,50,,,,,,,,,,,,,29,50
42,52,,,,,,,,,,,,,42,52
52,54,,,,,,,,,,,,,52,54
58,51,,,,,,,,,,,,,58,51
63,58,,,,,,,,,,,,,63,58
76,62,,,,,,,,,,,,,76,62
98,60,,,,,,,,,,,,,98,60
105,63,,,,,,,,,,,,,105,63
204,60,,,,,,,,,,,,,204,60
228,70,,,,,,,,,,,,,228,70
752,62,,,,,,,,,,,,,752,62
3,32,,,,,,,,,,,,,3,32
725,44,,,,,,,,,,,,,725,44
1,4,,,,,,,,,,,,,1,4
2,10,,,,,,,,,,,,,2,10
3,17,,,,,,,,,,,,,3,17
4,14,,,,,,,,,,,,,4,14
5,22,,,,,,,,,,,,,5,22
6,16,,,,,,,,,,,,,6,16
7,24,,,,,,,,,,,,,7,24
8,25,,,,,,,,,,,,,8,25
9,18,,,,,,,,,,,,,9,18
10,27,,,,,,,,,,,,,10,27
20,20,,,,,,,,,,,,,20,20
23,33,,,,,,,,,,,,,23,33
24,28,,,,,,,,,,,,,24,28
26,35,,,,,,,,,,,,,26,35
27,31,,,,,,,,,,,,,27,31
28,26,,,,,,,,,,,,,28,26
34,41,,,,,,,,,,,,,34,41
35,29,,,,,,,,,,,,,35,29
36,29,,,,,,,,,,,,,36,29
51,36,,,,,,,,,,,,,51,36
289,31,,,,,,,,,,,,,289,31
290,36,,,,,,,,,,,,,290,36
291,32,,,,,,,,,,,,,291,32
172,30,,,,,,,,,,,,,172,30
177,33,,,,,,,,,,,,,177,33
336,48,,,,,,,,,,,,,336,48
323,89,,,,,,,,,,,,,323,89
325,166,,,,,,,,,,,,,325,166
330,179,,,,,,,,,,,,,330,179
337,126,,,,,,,,,,,,,337,126
339,192,,,,,,,,,,,,,339,192
341,130,,,,,,,,,,,,,341,130
344,133,,,,,,,,,,,,,344,133
345,192,,,,,,,,,,,,,345,192
358,124,,,,,,,,,,,,,358,124
361,127,,,,,,,,,,,,,361,127
362,140,,,,,,,,,,,,,362,140
377,199,,,,,,,,,,,,,377,199
382,109,,,,,,,,,,,,,382,109
389,112,,,,,,,,,,,,,389,112
393,139,,,,,,,,,,,,,393,139
394,207,,,,,,,,,,,,,394,207
397,214,,,,,,,,,,,,,397,214
401,142,,,,,,,,,,,,,401,142
437,115,,,,,,,,,,,,,437,115
440,148,,,,,,,,,,,,,440,148
443,200,,,,,,,,,,,,,443,200
444,223,,,,,,,,,,,,,444,223
465,148,,,,,,,,,,,,,465,148
466,75,,,,,,,,,,,,,466,75
481,130,,,,,,,,,,,,,481,130
488,237,,,,,,,,,,,,,488,237
550,154,,,,,,,,,,,,,550,154
570,130,,,,,,,,,,,,,570,130
605,132,,,,,,,,,,,,,605,132
632,156,,,,,,,,,,,,,632,156
634,156,,,,,,,,,,,,,634,156
640,175,,,,,,,,,,,,,640,175
927,222,,,,,,,,,,,,,927,222
933,253,,,,,,,,,,,,,933,253
1078,253,,,,,,,,,,,,,1078,253
1,6,,,,,,,,,,,,,1,6
2,12,,,,,,,,,,,,,2,12
3,15,,,,,,,,,,,,,3,15
4,25,,,,,,,,,,,,,4,25
1,11,,,,,,,,,,,,,1,11
3,13,,,,,,,,,,,,,3,13
6,14,,,,,,,,,,,,,6,14
9,15,,,,,,,,,,,,,9,15
20,17,,,,,,,,,,,,,20,17
1,6,,,,,,,,,,,,,1,6
2,10,,,,,,,,,,,,,2,10
3,13,,,,,,,,,,,,,3,13
4,16,,,,,,,,,,,,,4,16
5,18,,,,,,,,,,,,,5,18
6,20,,,,,,,,,,,,,6,20
7,23,,,,,,,,,,,,,7,23
8,28,,,,,,,,,,,,,8,28
9,29,,,,,,,,,,,,,9,29
10,32,,,,,,,,,,,,,10,32
11,34,,,,,,,,,,,,,11,34
12,35,,,,,,,,,,,,,12,35
13,40,,,,,,,,,,,,,13,40
14,43,,,,,,,,,,,,,14,43
15,32,,,,,,,,,,,,,15,32
16,36,,,,,,,,,,,,,16,36
19,38,,,,,,,,,,,,,19,38
21,40,,,,,,,,,,,,,21,40
22,41,,,,,,,,,,,,,22,41
23,42,,,,,,,,,,,,,23,42
24,48,,,,,,,,,,,,,24,48
27,54,,,,,,,,,,,,,27,54
